# Human adjudications — Part A objective claims judged for faithfulness to the held Part B
# (Slice 1, PLAN.md § Result — 15 Sept, Sonnet N=3; spec/SERVE.md § Adjudications).
# Format: ID | verdict | quote | page | initials | reason
# Read by the -review render from this example dir; shown beside the machine badge, and the
# index reports the agreement count over every adjudicated leaf that has a machine verdict.
#
# Initials say who stands behind the line. `cc` marks a draft this session wrote; a human promotes
# a draft by editing the line and replacing `cc` with their own initials. cc never files a line
# under a human's initials — an unread draft under `PW` would read as PW's own call.
#
# All 11 leaves came back non-faithful (5 predicted, 6 not — PLAN.md). Every verdict names a Part A
# clause the critic reports absent from Part B; each is PW's per-leaf call on real gap vs
# clause-level false positive (DORA precedent ~40% flag precision).

#   ID | verdict     | quote | page | initials | reason
IO-1-A | faithful    | it has so far failed to translate these assets into meaningful leverage | 28 | PW | "failed to translate" reads as "not yet", not a failed attempt; Part B p79 ("dispersed", "never leveraged in tandem") carries the same state. Overturned from overstated.

# --- Slice 3: diagnostic-section numbers vs their cited sources (16 Sept, Sonnet N=3, chain evidence/2026-09-16-slice3/sonnet; replicated identically in sonnet-b) ---
# Drafts by cl. Method per line: grep = pattern search on the held capture; count = line/asterisk count; read = pasted passage read; run = machine verdict accepted after grep found nothing to overturn it.
c01-epoch | absent | improving nearly twice as fast since April 2024 | 21 | cl | Figure-only source (interactive chart); MANIFEST fig=figure-only. Stated limit. Method: MANIFEST fig column.
c02-metr | absent | programming tasks that took programmers 4 minutes | 21 | cl | Figure-only source. Stated limit. Method: MANIFEST fig column.
c03-anthropic | overstated | barely able to write a coherent line of code four years ago | 22 | cl | Source: AI "helped with small snippets" four years ago; report stronger. Minor. Method: run (judge quote), no grep.
c04-epoch | faithful | the pace at which AI models are improving has begun accelerating | 22 | cl | Method: run, 3/3.
c07-pacing | faithful | Over a thousand frontier lab employees jointly stated | 22 | cl | Statement present as quoted. Method: run, 3/3.
c05-jagged | unverifiable | AI capability growth is also 'jagged' | 23 | cl | No URI annotation on the PDF at this sentence: uncited. Method: pypdf annotation scan (cc, fetch pass).
c06-wemustactnow | faithful | around 200 economists, including 16 Nobel Prize winners | 23 | cl | Counted 243 signatory lines and 17 asterisked laureates (18 asterisks minus legend); report says ~200 and 16. Derived from the list; judge's limit. Overturned from partial. Method: count (sed -n 17,259p / grep -c .; grep -c '\*').
c08a-epoch | absent | from over $20 billion to more than $40 billion | 23 | cl | Figure not on the Epoch page; sentence's second cite is Bloomberg (c08b). Not a finding. Method: grep "40 billion/\$40/20 billion/run.rate" → no OpenAI run-rate hit.
c08b-bloomberg | unverifiable | same sentence, Bloomberg cite | 23 | cl | HTTP 403 bot-block; not held. Method: fetch pass.
c09-theinfo | unverifiable | Anthropic projected 4x … 5.2× by May 2026 | 23 | cl | Login wall; not held. Method: fetch pass.
c10-epoch | faithful | around €650 billion and growing by more than 70% annually | 23 | cl | Source: $770B, 72%. €650B ≈ $770B at ~1.18; 72% is "more than 70%". Judge does not convert currency. Overturned from contradicted. Method: read (judge's source_says), arithmetic.
c11-iasr | faithful | plausible risks include … loss of control scenarios | 24 | cl | Method: run, 3/3.
c12-redwood | partial | with agents working together to conceal evidence from the systems that were supposed to monitor them | 24 | cl | Hack real: RCE on HF production worker (l.351), lateral movement, HF cut access 13 July (l.360). Concealment clause overreaches: tampering targeted an eval scorer (l.156), evasion of human monitoring "very rarely and weakly" (l.645), no sophisticated evidence-hiding observed (l.652). Upheld on that clause. Method: grep hugging/scor/monitor/conceal/hide, read hits.
c13-forbes | unverifiable | None of the world's ten most valuable AI companies are European | 24 | cl | Capture failure: Global 2000 table is JS-rendered; 809 lines of site chrome, no company rows. Also: the cited page ranks all companies by composite, not AI companies by value — would not support the sentence as worded even if held. Sentence likely true; source mismatched. Overturned from absent. Method: grep for company names → none; wc -l; page title l.1.
c14-epoch | absent | run rate … less than 2% … 25-fold in two years | 24 | cl | Figure-only (data tool). Stated limit. Method: MANIFEST fig column.
c16a-europe2031 | contradicted | compared to 75% in the US and 15% in China | 24 | cl | Page: Europe ~5% today (l.31), China ~11% today in GW (l.34); China 15% (l.34) and US "a bit less than 70%" (l.35) are 2031 default-scenario projections; 75% appears nowhere. Report states projections as current. Second cite c16b (Epoch, figure-only) may carry a US figure. Upheld. Method: grep 75/15%/70/11%/scenario, read hits.
c16b-epoch | absent | same sentence, Epoch cite | 24 | cl | Figure-only. Stated limit. Method: MANIFEST fig column.
c17-epoch-fdc | absent | one third of the AI compute capacity of Europe | 24 | cl | Figure-only; reconciles internally (slice 2, footnote 2). Stated limit. Method: MANIFEST fig column; slice 2.
c19-privateinv | unverifiable | just 5–6% of global private AI investment | 24 | cl | No URI annotation at this sentence: uncited. Method: pypdf annotation scan.
c20-foxphilip | absent | roughly 100 times more for access to US frontier models | 25 | cl | Free post, complete capture ("Subscribe for free", no wall); only "100" on page is ASML "100% of their layer" (l.67); no ×/times figure. A number cited to a page that does not contain it. Upheld. Method: grep 100/times/fast follower/mistral/premium; grep subscri/paywall.
